id,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes,average_degree_centrality,imdb_score_binned,genre,plot
22,358,98,118,558,14000,139852971,238671,16410,0,461,9,13,7,2012,935,63000,0.002401321,2,-1.0715085,0.52610177
23,219,117,163,260,719,118823091,98693,1673,9,401,9,40,6,2007,339,0,0.001500825,2,2.9515,0.2177316
24,635,141,0,19000,26000,458991599,462669,92000,4,1117,9,40,7,2015,21000,118000,0.00292661,3,2.736438,-1.9605539
25,31,77,3,593,787,7382993,3851,2185,0,114,9,40,1,2006,690,346,0.00060033,0,-0.052205108,1.0690882
26,60,107,71,304,967,80000000,51459,1962,0,113,9,40,6,1984,455,0,0.000825454,2,-1.1313653,-1.4429799
27,62,117,101,743,13000,24944213,63459,16937,2,185,9,40,7,1996,852,3000,0.003601981,2,0.99604666,-0.28660136
28,511,112,0,697,6000,137387272,300110,9049,0,807,9,40,9,2013,960,131000,0.001650908,3,2.7329774,2.1554263
29,65,111,13,106,818,29106737,15582,1450,0,132,9,40,9,1998,511,849,0.000900495,2,1.2957845,0.29416642
30,26,107,53,463,954,53481,5557,2512,5,34,9,40,9,2006,551,294,0.00060033,2,-0.34975177,0.43360895
31,219,112,380,2000,15000,32357532,143368,31278,0,215,9,40,9,2010,11000,24000,0.003151733,2,1.305099,-1.2100581
32,38,104,122,458,22000,3386698,4195,23461,1,86,9,40,9,1998,472,392,0.002326279,2,1.3056347,1.450025
33,62,101,6,727,975,6643,11965,4184,2,39,9,40,9,2012,947,0,0.000825454,2,-0.44900343,0.40742758
34,233,113,163,27,131,1185783,44763,264,0,172,27,32,5,2007,60,14000,0.000300165,3,-1.8752724,-0.078047834
35,168,122,487,16,12000,24127895,248123,12076,2,437,9,40,9,2005,43,10000,0.002701486,3,-0.35626438,-0.5708384
36,123,118,101,327,13000,33828318,44453,14036,2,154,9,40,7,2003,390,0,0.003151733,2,-5.9901266,-0.801209
37,93,98,4,83,3000,14252830,18900,3769,0,242,9,6,7,2001,486,0,0.001650908,2,-0.1721567,-1.9201097
38,168,134,38,2000,11000,19377727,35140,24351,3,409,9,40,7,2005,8000,0,0.002626445,2,1.4142169,-0.41211224
39,131,91,0,332,795,1229197,382240,2158,0,660,9,39,6,1975,561,14000,0.001575867,4,0.77030545,1.9631681
40,362,166,21000,919,11000,127490802,459346,13333,2,822,9,40,7,2008,1000,23000,0.004052229,3,-0.6284102,-1.4362628
41,422,118,368,988,23000,125320003,286095,27468,0,974,9,40,7,2009,3000,0,0.00292661,2,2.7669988,0.8223329
42,43,78,7,142,308,191309,2787,1008,1,64,9,40,9,2004,249,98,0.000450248,2,3.9647756,-1.4019465
43,216,106,452,141,20000,15785632,32507,21195,3,119,9,39,7,2016,732,15000,0.001650908,3,1.1429203,-1.9473764
44,392,137,16000,363,29000,37304950,102728,36258,0,279,9,40,9,2011,6000,16000,0.004802641,2,0.10508491,-0.44307548
45,78,92,8,129,472,18843314,27486,1045,1,284,9,40,7,2006,239,0,0.000300165,1,2.867188,1.4408214
46,315,194,0,794,29000,658672302,793059,45223,0,2528,9,40,7,1997,14000,26000,0.003601981,3,-1.739532,0.2557341
47,97,95,189,306,500,56127162,57479,2020,2,205,9,40,7,2003,308,0,0.001575867,2,6.5184145,-1.2383907
48,357,134,0,11000,15000,83025853,259837,39789,0,2254,9,40,9,2005,13000,13000,0.003151733,3,-1.7243851,0.85446596
49,161,81,10,397,925,135381507,63912,2252,0,251,9,40,1,2005,729,912,0.001500825,2,-0.319908,0.031427156
50,120,127,36,399,562,12188642,21098,2230,7,56,9,7,7,2015,499,0,0.000525289,2,-0.009107881,-1.383587
51,246,125,189,839,1000,44665963,159931,5081,2,281,9,40,7,2013,847,22000,0.001800991,2,-5.9688644,-0.43201795
52,116,101,21,161,420,864959,20275,1215,0,151,9,39,6,2005,291,0,0.000300165,2,1.2961912,-1.6195124
53,98,103,52,426,969,57469179,63855,2987,0,248,9,40,9,1989,886,0,0.000825454,2,-1.9346862,-1.9672345
54,129,130,92,177,244,63600000,82073,1164,1,275,9,39,0,1965,189,0,0.000825454,2,1.9299537,-0.44169608
55,252,131,33,326,876,21483154,98741,1985,1,236,9,40,7,2013,526,53000,0.000750413,3,-1.6797777,-0.2964396
56,127,91,30,497,922,26404753,34203,3301,1,169,9,40,7,2012,786,19000,0.000900495,2,0.11687508,-1.8911326
57,96,106,61,649,907,32645546,8427,3462,5,88,9,40,6,2005,807,1000,0.001050578,2,1.8674692,-1.3634937
58,160,126,44,9,627,5701643,37635,653,0,165,23,33,9,2007,12,0,0.00060033,3,-1.2919534,-0.18194021
59,74,89,10,231,811,29302097,23408,2167,8,105,9,14,6,2004,636,810,0.000750413,1,0.6851641,0.4980593
60,203,109,64,553,16000,33305037,33856,17866,2,147,9,39,7,2015,638,34000,0.002026114,3,-0.08219103,-1.627154
61,486,126,4000,4000,21000,318298180,696338,39252,3,1055,9,40,7,2008,12000,10000,0.005102807,3,2.7502794,0.013757289
62,181,107,162,135,2000,15854988,36542,2447,2,378,9,40,7,2002,258,0,0.001951073,3,-1.7361258,0.9049077
63,65,112,28,215,555,4734235,8217,1227,0,123,9,40,9,2000,403,573,0.000525289,2,0.2642877,0.5905186
64,202,105,0,303,1000,12583510,60709,2444,0,922,9,40,9,2003,340,0,0.000675371,2,0.8955289,0.8258519
65,120,91,42,766,49000,43792641,32157,52566,3,119,9,40,7,2007,838,913,0.002251238,2,6.5505176,-0.011872077
66,173,160,219,215,1000,273420,32671,2340,6,238,9,13,9,2006,876,0,0.001650908,2,0.63437134,-1.2729483
67,608,195,1000,3000,21000,408992272,557489,30426,3,1187,9,40,7,2013,4000,95000,0.003827105,3,2.74982,1.1688462
68,226,100,545,766,14000,39532308,198701,17902,0,1138,9,39,9,2002,2000,0,0.002176197,2,-0.44703096,-1.0507874
69,282,125,0,504,11000,460935665,911097,13485,1,1470,9,40,6,1977,1000,33000,0.002101156,4,0.48895472,0.1451504
70,113,118,18000,286,18000,6144806,12821,23689,1,248,9,40,7,2004,5000,0,0.004502476,2,-0.61561275,-0.5561899
71,209,157,0,680,14000,28965197,133526,18216,1,521,9,40,9,1999,826,0,0.002551403,3,1.2155572,1.0677286
72,24,76,9,47,595,11144518,2724,1139,0,53,9,6,1,1998,417,436,0.000375206,0,2.1203008,1.8046514
73,141,124,130,841,4000,78120196,103241,6181,0,742,9,40,9,2002,973,5000,0.001500825,3,1.1277821,0.51957935
74,123,89,13,218,373,653621,5615,1136,0,64,9,40,4,2005,334,592,0.00060033,2,0.8668852,-0.99801654
75,185,130,0,568,11000,155370362,98403,12890,0,683,9,40,7,2000,627,0,0.00352694,2,-2.524565,2.4445171
76,52,164,767,162,358,26400000,12980,1334,0,89,9,39,6,1984,223,845,0.000825454,3,-0.4655224,-0.6071724
77,275,112,11000,159,385,16684352,67893,1205,0,163,9,40,9,2012,223,18000,0.002551403,2,6.5274434,-0.24937007
78,186,189,0,693,15000,136801374,782610,17716,0,1377,9,40,9,1999,745,30000,0.002101156,4,-0.115897134,0.15457144
79,44,73,11,142,1000,11634458,2045,2020,0,37,9,40,1,1999,436,339,0.000825454,2,-0.65210825,-0.29723528
80,51,93,0,622,966,900926,9517,3307,2,46,9,40,9,2007,799,319,0.000525289,2,-5.999262,-0.31482285
81,18,108,7,51,699,54215416,21409,936,1,63,9,40,7,1987,63,0,0.000375206,2,1.0144963,-1.4791676
82,208,122,0,567,883,2428883,21370,2896,1,132,9,40,9,2014,596,0,0.00120066,2,-1.117012,0.9523146
83,110,110,0,7,64,102055,24570,134,0,72,29,38,9,2008,45,0,0.000300165,2,1.2764446,-1.7569711
84,421,98,475,522,1000,223806889,718837,2975,0,1043,9,40,1,2008,729,16000,0.001425784,4,-0.011969726,-0.51139927
85,42,108,232,353,10000,2961991,15885,11459,4,78,9,40,9,1996,721,0,0.001725949,2,0.03922152,1.1325061
86,161,89,7,399,919,20801344,49721,2559,0,211,9,40,9,2007,557,0,0.000525289,2,0.89037025,0.18546109
87,64,84,12,102,159,3100650,7277,417,4,181,9,40,7,2001,102,231,0.000300165,1,2.435408,-0.50469255
88,181,104,0,898,8000,30059386,128593,11632,5,867,9,40,9,2001,1000,0,0.003451899,2,-6.028911,0.00765858
89,388,146,14000,979,25000,79883359,116159,46726,1,488,9,40,7,2011,19000,28000,0.003977187,3,-1.743145,-1.4797684
90,82,140,0,552,720,35183792,68159,3044,1,209,9,40,9,1991,576,0,0.002251238,3,-0.6779363,-1.6592916
91,112,119,23,440,1000,25000000,39847,2951,1,242,9,40,6,1976,659,0,0.000375206,2,2.7525308,1.326124
92,28,100,3,88,2000,4756,4191,2450,4,32,9,39,6,2013,228,0,0.000675371,2,1.6573471,1.545152
93,157,102,79,27,925,101978840,77724,1018,0,162,9,40,9,2013,38,26000,0.000525289,2,-6.0050206,0.065199174
94,284,110,763,222,15000,83503161,138190,16691,1,405,9,40,9,2011,1000,30000,0.00120066,2,-0.8598323,1.6106821
95,153,92,35,179,19000,83348920,60230,19963,0,118,9,40,6,2014,411,11000,0.001350743,2,-1.9602534,1.0505943
96,439,130,3000,844,10000,3029870,128729,15835,1,551,9,11,9,2011,4000,50000,0.002176197,3,0.98078984,1.4797693
97,673,142,378,575,34000,407999255,701607,49942,0,1959,9,40,7,2012,14000,140000,0.001876032,3,1.3347098,1.1152772
98,568,149,21000,625,835,167735396,569841,4348,0,1127,9,40,9,2014,812,146000,0.001876032,4,2.0869842,-1.031033
99,94,97,27,522,601,31526393,22243,2730,0,144,9,40,7,2004,543,686,0.00060033,1,-1.4162931,-0.5879033
100,148,114,59,403,49000,31655091,87331,50927,0,364,9,40,6,2007,702,18000,0.001725949,3,0.6647041,-2.0983677
101,68,102,3,239,372,11227940,8367,1274,0,94,9,40,9,1999,248,120,0.000375206,2,0.19520488,-0.38556027
102,311,87,13,308,463,40990055,41509,1958,0,300,9,13,7,2010,400,0,0.000375206,2,-0.044100337,0.0806044
103,159,81,3,7,220,22757819,13521,276,0,150,9,40,9,2015,40,0,0.000300165,1,1.611931,-0.73827827
104,29,79,2,551,855,279282,3806,2489,2,49,9,40,7,2003,577,150,0.000450248,2,1.2918787,-1.7255257
105,36,113,0,256,607,51697449,8346,1465,6,59,9,40,7,2009,269,1000,0.000975537,1,-6.147138,0.7111489
106,170,104,14,203,3000,75030163,108076,4487,0,1690,9,40,6,2006,762,0,0.001050578,2,-0.1058777,0.57724285
107,161,110,72,789,18000,67061228,96565,21554,1,135,9,40,7,2010,1000,0,0.002851568,2,-0.96953356,0.19011626
108,91,93,54,581,40000,34872293,30765,42002,0,252,9,40,9,1991,618,963,0.002326279,1,0.6767782,-0.38976896
109,167,91,41,328,567,20819129,84209,2954,1,201,9,40,6,2009,402,0,0.000750413,2,-0.24637747,0.14800441
110,63,102,0,413,13000,38747385,49349,15308,2,165,9,40,7,1986,854,0,0.003076692,2,-0.10632783,1.6005374
111,98,96,165,566,12000,183125,36914,14978,1,86,9,40,9,2012,774,0,0.003151733,2,0.8978248,-4.0295677
112,329,115,521,883,13000,227137090,491077,17369,0,820,9,40,7,2007,897,0,0.003001651,4,0.44627517,-0.5578708
113,393,100,127,250,1000,71588220,134869,1949,1,304,9,6,7,2013,340,57000,0.000375206,2,-1.9309169,-1.5249933
114,162,106,0,574,18000,23272306,740918,20821,4,1182,9,40,9,1995,979,28000,0.003752064,4,2.1061406,0.8392644
115,131,126,98,37,18000,53680848,167967,18726,1,243,9,40,7,2007,631,20000,0.002476362,3,-1.7449986,-0.6711651
116,51,110,99,960,4000,4301331,78241,7921,6,177,9,40,9,1995,975,0,0.001650908,2,-1.1248362,0.14723319
117,41,97,0,230,922,1046166,2599,1835,4,45,9,14,7,2005,374,128,0.000750413,1,1.2976443,1.7435447
118,108,111,0,529,11000,108244774,94049,13645,2,301,9,40,1,2001,995,0,0.002176197,2,-2.2415626,-0.33209333
119,240,96,107,350,11000,143618384,165333,12071,0,186,9,40,1,2011,560,19000,0.001725949,2,0.1648399,-0.40740237
120,148,128,0,754,955,37036404,44816,5404,3,259,9,40,7,2000,869,0,0.000900495,2,1.3212928,-0.8741983
121,219,96,7,642,874,50807639,40883,3151,3,122,9,40,6,2014,668,11000,0.000300165,2,-0.06659859,-2.1517153
122,159,116,105,246,844,5851188,31124,1899,1,313,9,39,9,2006,729,764,0.001125619,1,0.18571438,-1.7548362
123,113,129,51,89,427,44469602,23480,952,0,83,9,40,6,2015,234,21000,0.00060033,3,0.32125348,-0.61459875
124,185,94,39,18,77,9030581,132386,156,0,398,9,39,7,2008,32,38000,0.000300165,3,-1.7280418,0.2955856
125,69,90,13,613,882,19158074,17983,2661,2,127,9,40,6,2002,874,0,0.001425784,2,1.0655107,-1.2549403
126,189,97,11,220,1000,27736779,25210,2403,0,126,9,40,9,2015,412,13000,0.000450248,2,2.7380304,-1.4016736
127,152,101,32,104,219,8129455,89568,661,1,142,9,40,6,2011,141,17000,0.00060033,2,-1.2753392,0.68684345
128,18,104,53,576,2000,5974653,2253,4221,0,111,9,40,7,2001,595,158,0.001575867,1,0.21118551,-0.76410145
129,98,117,260,441,1000,30981850,35834,3969,0,284,9,40,9,2005,1000,0,0.001275702,1,1.2852657,0.55663955
130,196,92,50,517,3000,111505642,47900,5810,2,130,9,40,6,2014,1000,11000,0.001275702,2,-0.24007225,2.054996
131,150,107,309,771,23000,127083765,191912,25296,5,370,9,40,7,2003,787,0,0.002551403,2,-1.0484761,-1.1926849
132,42,141,176,672,11000,122012710,69663,14178,1,133,9,40,7,1994,913,0,0.002851568,2,0.92597055,-0.35462502
133,90,103,45,107,489,668171,8215,949,0,132,21,8,7,2005,181,445,0.000375206,2,-0.76830333,0.8774182
134,403,123,508,14000,34000,337103873,305008,81385,1,591,9,40,7,2014,22000,52000,0.002626445,2,1.2842755,1.69362
135,308,92,72,568,623,19059018,65709,3165,0,194,9,3,7,2014,593,15000,0.000525289,2,-0.117089435,-0.3507789
136,113,87,43,210,882,36073232,8913,1971,0,66,9,40,6,2013,396,0,0.000375206,2,0.39405203,1.753652
137,220,83,181,459,731,37053924,77935,1987,3,122,9,14,9,2011,579,0,0.00060033,2,-0.20393243,1.4257389
138,265,101,0,11,19000,44566004,321283,32015,0,1848,9,40,9,2003,13000,17000,0.003451899,3,-1.8504847,0.53859407
139,110,131,37,507,968,18208078,57100,3012,3,281,9,40,9,2001,848,0,0.002026114,2,2.770866,-1.9402387
140,308,107,0,167,11000,3675072,190132,11623,0,801,9,39,9,2007,372,15000,0.002251238,3,1.3034483,-0.74928474
141,196,93,66,161,1000,21197315,49948,1410,0,211,9,40,9,2014,200,14000,0.000900495,2,2.7674975,-1.008525
142,248,96,50,0,3,484221,23836,6,1,107,16,39,5,2012,3,20000,0.000300165,4,1.8653625,0.31804076
143,85,106,188,582,10000,113745408,129601,15870,2,648,9,40,7,1999,4000,0,0.002776527,1,-1.3228303,-2.6712894
144,104,96,11000,223,11000,10569071,35586,11867,2,131,9,40,9,1997,474,0,0.004952724,3,-6.012825,-2.2726111
145,139,96,3,35,18000,48006503,28109,18178,3,110,9,40,6,2008,82,0,0.001800991,2,1.2972478,0.9129261
146,258,159,0,645,11000,317557891,444683,13191,4,1571,9,39,6,2001,687,16000,0.002026114,3,1.6572852,-0.06560584
147,67,99,545,533,933,14567883,44248,2542,1,373,9,39,9,1998,722,0,0.001800991,2,2.882982,2.3980157
148,292,123,0,645,10000,7689458,126307,11769,1,210,9,39,7,2009,785,19000,0.001350743,2,-0.17336637,1.0096368
149,203,92,180,75,211,23324666,97775,488,1,211,9,13,9,2010,135,0,0.000825454,2,0.24330091,1.1410357
150,129,100,6,65,935,14343976,22961,1327,0,291,9,40,9,1989,120,1000,0.000525289,1,0.3458877,0.29068434
151,417,140,310,619,33000,21383298,187170,34413,3,376,9,40,9,2012,748,47000,0.001350743,3,-0.37235686,-0.29779622
152,69,132,333,284,380,274299,11077,1429,2,55,9,13,10,2002,326,0,0.001050578,3,1.6695083,-3.4224932
153,296,104,71,982,12000,10706786,81800,16481,1,211,9,40,9,2011,2000,15000,0.003001651,2,0.3563823,-0.8381929
154,27,122,0,292,12000,41252428,11453,13716,0,71,9,40,7,1996,592,0,0.002326279,2,1.3014814,0.29630208
155,359,140,0,4000,20000,380262555,520104,44042,4,3286,9,40,7,2005,16000,10000,0.002401321,3,0.4709004,0.37781295
156,215,120,909,184,909,21244913,123090,1779,2,888,9,14,9,2002,504,4000,0.001275702,3,0.19348627,-1.2594749
157,93,107,11,506,939,16088610,10417,3742,2,39,9,40,6,2009,605,610,0.001275702,2,0.9929174,0.39021006
158,205,93,80,48,692,436471036,314630,1148,1,483,9,40,6,2004,309,0,0.001050578,3,-0.37235665,0.705862
159,120,109,0,126,3000,3798532,41138,3668,0,208,9,40,9,1996,441,2000,0.001275702,3,0.8644809,-0.7406662
160,33,74,0,719,886,6491350,1231,5139,0,26,9,40,6,2004,808,49,0.000975537,2,0.55610514,-1.0114882
161,147,99,129,362,976,2077046,27266,2748,2,75,9,40,9,2008,617,0,0.000825454,2,1.2923322,-1.6104883
162,127,136,49,730,17000,67253092,92702,20299,0,209,9,40,7,2005,807,0,0.001800991,3,-0.61962837,1.1930196
163,148,94,892,81,310,5132655,37626,838,0,521,9,6,9,2005,294,1000,0.00060033,0,-0.86875683,-0.9625481
164,104,97,32,692,14000,8378141,18966,16502,5,141,9,39,6,2002,1000,0,0.00292661,2,1.2958401,0.57017034
165,279,92,394,565,13000,9483821,39247,25418,3,131,9,40,9,2012,11000,10000,0.002176197,2,0.21996424,1.0349813
166,105,99,148,660,2000,73701902,27548,6729,1,209,9,40,6,2004,843,0,0.001500825,2,0.21819028,-0.1896473
167,322,137,11000,465,769,115603980,103589,2938,0,351,9,40,7,2014,698,35000,0.002476362,3,0.5218673,1.4792603
168,152,135,419,7,398,128486,26156,569,0,74,20,35,9,2008,149,0,0.000525289,3,-0.2577663,-0.9349371
169,133,127,446,898,11000,28871190,125421,13433,0,385,9,40,9,1999,1000,0,0.003677022,3,0.06139568,-0.65346867
170,267,138,0,258,820,132122995,212106,1814,0,1445,9,40,7,2003,300,0,0.001425784,2,0.2313643,-0.24424885
171,132,96,31,536,651,16667084,90070,3119,0,248,9,40,7,1990,610,11000,0.000750413,3,1.9218358,0.36641043
172,71,77,50,537,886,64736114,36471,2682,0,69,9,40,6,2002,799,459,0.001425784,2,-0.02973656,-0.058151927
173,162,99,261,461,924,49494,8511,2862,0,87,9,40,9,2013,835,0,0.001575867,1,1.0634991,-1.3371106
174,212,116,0,71,287,89138076,98535,600,4,734,9,40,9,2000,157,0,0.001575867,2,-0.772015,-1.1186702
175,147,117,0,567,883,7458269,70698,3611,1,196,9,40,7,2006,883,9000,0.003001651,2,1.2959207,0.956505
176,40,95,10,111,706,25482931,9693,1421,2,33,9,40,9,2002,266,530,0.000825454,2,1.946837,-0.99330497
177,147,95,98,78,405,37101011,30394,1070,1,103,9,40,7,2012,358,0,0.001125619,2,-6.13135,0.20277461
178,267,132,50,368,992,46982632,172792,1933,0,1740,9,6,9,2006,495,0,0.001125619,2,1.53978,1.08973
179,165,109,65,393,798,78845130,17596,2480,1,94,9,13,9,2016,465,0,0.000975537,2,-2.2403371,0.40935564
180,262,125,0,210,15000,62647540,143525,15850,0,657,9,14,9,2005,383,0,0.002401321,3,1.9468093,1.7784824
181,72,99,17,16,31,22770,1658,81,0,12,18,24,10,2013,17,543,0.000525289,2,-6.1232295,-1.0302997
182,124,110,116,898,1000,181360000,170027,5127,2,350,9,40,7,1978,944,13000,0.000900495,3,1.5579313,1.6242263
183,230,111,0,727,796,13034417,55665,2633,1,118,9,40,7,2009,787,10000,0.000750413,2,-0.62090826,1.1926818
184,247,109,545,727,886,80281096,143628,3222,0,1283,9,40,7,2004,766,0,0.001951073,2,-2.2950659,-0.36844826
185,304,132,607,259,1000,204565000,284252,2466,0,1058,9,40,9,1973,931,18000,0.001125619,3,0.9187771,-1.0553769
186,158,86,41,155,956,19472057,25332,1862,0,307,9,40,9,1986,316,0,0.000975537,2,1.6258386,-0.18267497
187,128,94,11000,975,11000,17071230,31169,23283,0,192,9,40,6,2000,11000,812,0.00532793,2,-1.7613611,2.3250363
188,114,116,101,780,18000,121248145,260981,20966,0,373,9,40,9,1994,946,0,0.002701486,3,1.8559202,-0.73051775
189,256,101,0,574,40000,26505000,149293,42918,1,668,9,40,11,1984,852,10000,0.003902146,3,0.9404457,-1.4453806
190,155,100,350,30,201,2708188,8924,365,1,43,9,39,9,2009,123,0,0.001350743,2,1.2958401,-1.1067095
191,364,90,23000,694,23000,24475193,190494,44265,1,314,9,40,9,2013,19000,33000,0.003977187,2,1.2671077,1.1005749
192,238,128,0,135,29000,39380442,174248,29824,1,263,9,40,9,2008,149,0,0.003677022,3,2.813716,-1.8970293
193,408,117,248,726,14000,51533608,203111,16606,1,755,9,40,9,2011,798,32000,0.002701486,2,-0.14345457,-1.7945036
194,279,89,33,118,470,12843,27297,1233,0,131,9,13,5,2012,378,0,0.000300165,2,1.6306273,-1.6180537
195,28,120,0,702,1000,5731103,4100,5963,10,35,9,40,9,1996,748,352,0.003001651,2,2.3474267,-0.917903
196,90,125,46,249,368,58800000,40511,1651,0,213,9,39,6,1981,303,0,0.000525289,3,0.32459643,0.45174688
197,70,100,57,92,181,10114315,18693,582,0,187,9,40,7,1999,151,0,0.000300165,2,3.9279575,0.42972347
198,161,100,0,210,436,35096190,76560,1395,1,322,9,40,7,2003,399,0,0.001050578,2,-0.45648745,-0.21706446
199,141,117,179,403,8000,63695760,61490,12850,1,264,9,40,7,2003,4000,0,0.003601981,2,-1.8453741,0.019051567
200,93,75,0,677,4000,15519841,8693,6863,3,71,9,40,6,2006,769,261,0.001050578,1,-0.053841814,0.2827375
201,138,105,488,13000,15000,20991497,39778,44037,1,172,9,40,7,2015,14000,11000,0.002701486,2,1.294538,-0.50822425
202,120,116,380,774,18000,40932372,58023,32563,0,281,9,40,9,1998,13000,0,0.005177848,2,0.18291424,-0.57885647
203,93,115,115,977,9000,882710,16215,11433,2,138,9,40,9,2000,1000,401,0.002476362,2,0.8374703,-0.2787501
204,91,105,99,960,17000,33687630,116762,20109,0,261,9,40,7,2006,1000,0,0.002101156,2,6.5489426,-0.056653153
205,98,103,80,585,806,17324744,44103,3211,3,149,9,40,7,2006,591,0,0.001500825,2,-0.03183388,2.6155627
206,585,113,218,509,10000,100189501,431620,12652,1,741,9,40,7,2014,854,77000,0.002851568,3,2.7509408,-1.2337538
207,186,126,13000,488,920,251188924,269033,2725,0,817,9,40,7,1989,549,12000,0.001951073,3,-0.19743559,0.7604441
208,338,114,0,140,979,65171860,106416,1766,1,205,9,40,7,2013,557,22000,0.001725949,2,1.3138107,-0.6186081
209,276,141,71,3000,21000,47105085,136973,30183,1,275,9,40,9,2014,3000,47000,0.00352694,3,-1.3671966,-0.3478861
210,238,88,91,591,4000,31051126,36877,6254,0,101,9,39,6,2012,796,0,0.001275702,2,-1.895506,0.62638235
211,205,102,0,294,625,26781723,187595,1655,3,978,9,40,9,2004,379,0,0.00060033,3,1.3447616,0.41519162
212,122,99,0,93,16000,3500000,147566,16534,1,235,17,23,9,1964,360,0,0.002701486,3,-0.041924115,1.704227
213,171,105,12,935,87000,48745150,50170,101383,1,306,9,40,7,2006,11000,773,0.002551403,2,-0.8323799,-0.6844977
214,15,87,101,324,721,800000,2308,1700,0,35,9,40,9,1987,576,550,0.000450248,1,1.243276,-1.0903106
215,50,98,9,405,11000,101228,7228,20009,4,53,9,40,9,2005,8000,414,0.003151733,2,-6.1579404,-1.1394886
216,274,123,628,171,565,15294553,202341,1595,1,391,9,39,9,2013,555,105000,0.000525289,3,-0.6400909,-0.19331197
217,226,129,353,151,883,33565375,111351,1565,0,568,9,39,9,2005,430,0,0.001125619,3,-0.5545751,0.7709486
218,117,104,293,256,780,30063805,31788,2109,0,243,9,40,7,2002,265,0,0.001575867,2,-0.9636537,0.2309174
219,169,105,54,988,3000,51853450,37398,9069,0,110,9,40,6,2012,2000,11000,0.001275702,2,0.96732783,1.0495888
220,34,115,88,890,1000,43490057,5275,4737,6,30,9,40,9,1997,1000,508,0.001800991,2,-6.133234,-1.4073927
221,131,131,16000,638,16000,101157447,277505,28544,1,495,9,40,9,1992,11000,10000,0.007128921,4,-1.0789033,2.307081
222,105,83,6,0,30,1127331,7559,30,1,77,7,0,7,2003,0,0,0.000300165,3,-1.849786,0.3993362
223,163,113,13,594,5000,1094798,11158,7692,6,73,9,39,9,2010,629,0,0.001125619,3,-0.8277429,1.0405219
224,220,119,0,593,908,33386128,36372,3226,0,491,9,40,9,2009,764,3000,0.000825454,1,0.95206004,1.5628572
225,160,184,34,155,486,476270,29602,1601,2,110,12,14,9,2008,471,0,0.00060033,3,1.2196022,1.552316
