id,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes,average_degree_centrality,imdb_score_binned
32,0,38,104,122,458,0,22000,3386698,79,4195,23461,0,1,86,9,40,9,1998,472,392,0.002326279,2
33,0,62,101,6,727,0,975,6643,0,11965,4184,0,2,39,9,40,9,2012,947,10000,0.000825454,2
34,0,233,113,163,27,0,131,1185783,0,44763,264,0,0,172,27,32,5,2007,60,14000,0.000300165,3
35,0,168,122,487,16,0,12000,24127895,76,248123,12076,0,2,437,9,40,9,2005,43,10000,0.002701486,3
36,7,123,118,101,327,0,13000,33828318,66,44453,14036,0,2,154,9,40,7,2003,390,10000,0.003151733,2
37,0,93,98,4,83,0,3000,14252830,84,18900,3769,0,0,242,9,6,7,2001,486,10000,0.001650908,2
38,0,168,134,38,2000,34,11000,19377727,55,35140,24351,0,3,409,9,40,7,2005,8000,10000,0.002626445,2
39,80,131,91,98,332,0,795,1229197,0,382240,2158,0,0,660,9,39,6,1975,561,14000,0.001575867,4
40,19,362,166,21000,919,16,11000,127490802,12,459346,13333,0,2,822,9,40,7,2008,1000,23000,0.004052229,3
41,0,422,118,368,988,0,23000,125320003,21,286095,27468,0,0,974,9,40,7,2009,3000,10000,0.00292661,2
42,0,43,78,7,142,0,308,191309,0,2787,1008,0,1,64,9,40,9,2004,249,98,0.000450248,2
43,0,216,106,452,141,0,20000,15785632,39,32507,21195,0,3,119,9,39,7,2016,732,15000,0.001650908,3
44,16,392,137,16000,363,0,29000,37304950,63,102728,36258,0,0,279,9,40,9,2011,6000,16000,0.004802641,2
45,0,78,92,8,129,0,472,18843314,0,27486,1045,0,1,284,9,40,7,2006,239,10000,0.000300165,1
46,0,315,194,98,794,18,29000,658672302,63,793059,45223,0,0,2528,9,40,7,1997,14000,26000,0.003601981,3
47,72,97,95,189,306,0,500,56127162,0,57479,2020,0,2,205,9,40,7,2003,308,10000,0.001575867,2
48,3,357,134,98,11000,0,15000,83025853,41,259837,39789,0,0,2254,9,40,9,2005,13000,13000,0.003151733,3
49,0,161,81,10,397,0,925,135381507,0,63912,2252,0,0,251,9,40,1,2005,729,912,0.001500825,2
50,0,120,127,36,399,0,562,12188642,0,21098,2230,0,7,56,9,7,7,2015,499,10000,0.000525289,2
51,72,246,125,189,839,0,1000,44665963,0,159931,5081,0,2,281,9,40,7,2013,847,22000,0.001800991,2
52,0,116,101,21,161,0,420,864959,0,20275,1215,0,0,151,9,39,6,2005,291,10000,0.000300165,2
53,0,98,103,52,426,0,969,57469179,0,63855,2987,0,0,248,9,40,9,1989,886,10000,0.000825454,2
54,0,129,130,92,177,0,244,63600000,0,82073,1164,0,1,275,9,39,0,1965,189,10000,0.000825454,2
55,0,252,131,33,326,0,876,21483154,0,98741,1985,0,1,236,9,40,7,2013,526,53000,0.000750413,3
56,0,127,91,30,497,0,922,26404753,0,34203,3301,0,1,169,9,40,7,2012,786,19000,0.000900495,2
57,0,96,106,61,649,0,907,32645546,0,8427,3462,0,5,88,9,40,6,2005,807,1000,0.001050578,2
58,0,160,126,44,9,0,627,5701643,0,37635,653,0,0,165,23,33,9,2007,12,10000,0.00060033,3
59,0,74,89,10,231,0,811,29302097,0,23408,2167,0,8,105,9,14,6,2004,636,810,0.000750413,1
60,0,203,109,64,553,0,16000,33305037,86,33856,17866,0,2,147,9,39,7,2015,638,34000,0.002026114,3
61,38,486,126,4000,4000,0,21000,318298180,81,696338,39252,0,3,1055,9,40,7,2008,12000,10000,0.005102807,3
62,0,181,107,162,135,0,2000,15854988,26,36542,2447,0,2,378,9,40,7,2002,258,10000,0.001951073,3
63,0,65,112,28,215,0,555,4734235,0,8217,1227,0,0,123,9,40,9,2000,403,573,0.000525289,2
64,0,202,105,98,303,0,1000,12583510,0,60709,2444,0,0,922,9,40,9,2003,340,10000,0.000675371,2
65,0,120,91,42,766,0,49000,43792641,82,32157,52566,0,3,119,9,40,7,2007,838,913,0.002251238,2
66,0,173,160,219,215,0,1000,273420,0,32671,2340,0,6,238,9,13,9,2006,876,10000,0.001650908,2
67,0,608,195,1000,3000,0,21000,408992272,81,557489,30426,0,3,1187,9,40,7,2013,4000,95000,0.003827105,3
68,55,226,100,545,766,0,14000,39532308,71,198701,17902,0,0,1138,9,39,9,2002,2000,10000,0.002176197,2
69,0,282,125,98,504,0,11000,460935665,37,911097,13485,0,1,1470,9,40,6,1977,1000,33000,0.002101156,4
70,0,113,118,18000,286,0,18000,6144806,61,12821,23689,0,1,248,9,40,7,2004,5000,10000,0.004502476,2
71,49,209,157,98,680,24,14000,28965197,3,133526,18216,0,1,521,9,40,9,1999,826,10000,0.002551403,3
72,0,24,76,9,47,0,595,11144518,0,2724,1139,0,0,53,9,6,1,1998,417,436,0.000375206,0
73,0,141,124,130,841,0,4000,78120196,0,103241,6181,0,0,742,9,40,9,2002,973,5000,0.001500825,3
74,0,123,89,13,218,0,373,653621,0,5615,1136,0,0,64,9,40,4,2005,334,592,0.00060033,2
75,67,185,130,98,568,0,11000,155370362,37,98403,12890,0,0,683,9,40,7,2000,627,10000,0.00352694,2
76,0,52,164,767,162,0,358,26400000,0,12980,1334,0,0,89,9,39,6,1984,223,845,0.000825454,3
77,88,275,112,11000,159,0,385,16684352,0,67893,1205,0,0,163,9,40,9,2012,223,18000,0.002551403,2
78,0,186,189,98,693,0,15000,136801374,93,782610,17716,0,0,1377,9,40,9,1999,745,30000,0.002101156,4
79,0,44,73,11,142,0,1000,11634458,0,2045,2020,0,0,37,9,40,1,1999,436,339,0.000825454,2
80,0,51,93,98,622,0,966,900926,0,9517,3307,0,2,46,9,40,9,2007,799,319,0.000525289,2
81,0,18,108,7,51,0,699,54215416,0,21409,936,0,1,63,9,40,7,1987,63,10000,0.000375206,2
82,0,208,122,98,567,0,883,2428883,0,21370,2896,0,1,132,9,40,9,2014,596,10000,0.00120066,2
83,0,110,110,98,7,0,64,102055,0,24570,134,0,0,72,29,38,9,2008,45,10000,0.000300165,2
84,0,421,98,475,522,0,1000,223806889,0,718837,2975,0,0,1043,9,40,1,2008,729,16000,0.001425784,4
85,0,42,108,232,353,0,10000,2961991,34,15885,11459,0,4,78,9,40,9,1996,721,10000,0.001725949,2
86,0,161,89,7,399,0,919,20801344,0,49721,2559,0,0,211,9,40,9,2007,557,10000,0.000525289,2
87,0,64,84,12,102,0,159,3100650,0,7277,417,0,4,181,9,40,7,2001,102,231,0.000300165,1
88,41,181,104,98,898,0,8000,30059386,99,128593,11632,0,5,867,9,40,9,2001,1000,10000,0.003451899,2
89,78,388,146,14000,979,0,25000,79883359,0,116159,46726,0,1,488,9,40,7,2011,19000,28000,0.003977187,3
90,52,82,140,98,552,0,720,35183792,0,68159,3044,0,1,209,9,40,9,1991,576,10000,0.002251238,3
91,0,112,119,23,440,0,1000,25000000,0,39847,2951,0,1,242,9,40,6,1976,659,10000,0.000375206,2
92,0,28,100,3,88,0,2000,4756,0,4191,2450,0,4,32,9,39,6,2013,228,10000,0.000675371,2
93,0,157,102,79,27,0,925,101978840,0,77724,1018,0,0,162,9,40,9,2013,38,26000,0.000525289,2
94,0,284,110,763,222,0,15000,83503161,0,138190,16691,0,1,405,9,40,9,2011,1000,30000,0.00120066,2
95,0,153,92,35,179,0,19000,83348920,0,60230,19963,0,0,118,9,40,6,2014,411,11000,0.001350743,2
96,0,439,130,3000,844,0,10000,3029870,0,128729,15835,0,1,551,9,11,9,2011,4000,50000,0.002176197,3
97,0,673,142,378,575,0,34000,407999255,47,701607,49942,0,0,1959,9,40,7,2012,14000,140000,0.001876032,3
98,19,568,149,21000,625,0,835,167735396,0,569841,4348,0,0,1127,9,40,9,2014,812,146000,0.001876032,4
99,0,94,97,27,522,0,601,31526393,0,22243,2730,0,0,144,9,40,7,2004,543,686,0.00060033,1
100,0,148,114,59,403,0,49000,31655091,82,87331,50927,0,0,364,9,40,6,2007,702,18000,0.001725949,3
101,0,68,102,3,239,0,372,11227940,0,8367,1274,0,0,94,9,40,9,1999,248,120,0.000375206,2
102,0,311,87,13,308,0,463,40990055,0,41509,1958,0,0,300,9,13,7,2010,400,10000,0.000375206,2
103,0,159,81,3,7,0,220,22757819,0,13521,276,0,0,150,9,40,9,2015,40,10000,0.000300165,1
104,0,29,79,2,551,0,855,279282,0,3806,2489,0,2,49,9,40,7,2003,577,150,0.000450248,2
105,85,36,113,98,256,0,607,51697449,0,8346,1465,0,6,59,9,40,7,2009,269,1000,0.000975537,1
106,0,170,104,14,203,0,3000,75030163,0,108076,4487,0,0,1690,9,40,6,2006,762,10000,0.001050578,2
107,0,161,110,72,789,0,18000,67061228,36,96565,21554,0,1,135,9,40,7,2010,1000,10000,0.002851568,2
108,0,91,93,54,581,0,40000,34872293,53,30765,42002,0,0,252,9,40,9,1991,618,963,0.002326279,1
109,0,167,91,41,328,0,567,20819129,0,84209,2954,0,1,201,9,40,6,2009,402,10000,0.000750413,2
110,26,63,102,98,413,0,13000,38747385,11,49349,15308,0,2,165,9,40,7,1986,854,10000,0.003076692,2
111,73,98,96,165,566,0,12000,183125,76,36914,14978,0,1,86,9,40,9,2012,774,10000,0.003151733,2
112,53,329,115,521,883,0,13000,227137090,66,491077,17369,0,0,820,9,40,7,2007,897,10000,0.003001651,4
113,0,393,100,127,250,0,1000,71588220,0,134869,1949,0,1,304,9,6,7,2013,340,57000,0.000375206,2
114,11,162,106,98,574,0,18000,23272306,61,740918,20821,0,4,1182,9,40,9,1995,979,28000,0.003752064,4
115,0,131,126,98,37,0,18000,53680848,36,167967,18726,0,1,243,9,40,7,2007,631,20000,0.002476362,3
116,0,51,110,99,960,0,4000,4301331,87,78241,7921,0,6,177,9,40,9,1995,975,10000,0.001650908,2
117,0,41,97,98,230,0,922,1046166,0,2599,1835,0,4,45,9,14,7,2005,374,128,0.000750413,1
118,27,108,111,98,529,0,11000,108244774,8,94049,13645,0,2,301,9,40,1,2001,995,10000,0.002176197,2
119,0,240,96,107,350,0,11000,143618384,8,165333,12071,0,0,186,9,40,1,2011,560,19000,0.001725949,2
120,0,148,128,98,754,0,955,37036404,0,44816,5404,0,3,259,9,40,7,2000,869,10000,0.000900495,2
121,0,219,96,7,642,0,874,50807639,0,40883,3151,0,3,122,9,40,6,2014,668,11000,0.000300165,2
122,0,159,116,105,246,0,844,5851188,0,31124,1899,0,1,313,9,39,9,2006,729,764,0.001125619,1
123,0,113,129,51,89,0,427,44469602,0,23480,952,0,0,83,9,40,6,2015,234,21000,0.00060033,3
124,0,185,94,39,18,0,77,9030581,0,132386,156,0,0,398,9,39,7,2008,32,38000,0.000300165,3
125,0,69,90,13,613,0,882,19158074,0,17983,2661,0,2,127,9,40,6,2002,874,10000,0.001425784,2
126,0,189,97,11,220,0,1000,27736779,0,25210,2403,0,0,126,9,40,9,2015,412,13000,0.000450248,2
127,0,152,101,32,104,0,219,8129455,0,89568,661,0,1,142,9,40,6,2011,141,17000,0.00060033,2
128,0,18,104,53,576,31,2000,5974653,70,2253,4221,0,0,111,9,40,7,2001,595,158,0.001575867,1
129,0,98,117,260,441,0,1000,30981850,0,35834,3969,0,0,284,9,40,9,2005,1000,10000,0.001275702,1
130,0,196,92,50,517,0,3000,111505642,0,47900,5810,0,2,130,9,40,6,2014,1000,11000,0.001275702,2
131,37,150,107,309,771,0,23000,127083765,77,191912,25296,0,5,370,9,40,7,2003,787,10000,0.002551403,2
132,58,42,141,176,672,0,11000,122012710,37,69663,14178,0,1,133,9,40,7,1994,913,10000,0.002851568,2
133,0,90,103,45,107,0,489,668171,0,8215,949,0,0,132,21,8,7,2005,181,445,0.000375206,2
134,0,403,123,508,14000,0,34000,337103873,47,305008,81385,0,1,591,9,40,7,2014,22000,52000,0.002626445,2
135,0,308,92,72,568,0,623,19059018,0,65709,3165,0,0,194,9,3,7,2014,593,15000,0.000525289,2
136,0,113,87,43,210,0,882,36073232,0,8913,1971,0,0,66,9,40,6,2013,396,10000,0.000375206,2
137,0,220,83,181,459,0,731,37053924,0,77935,1987,0,3,122,9,14,9,2011,579,10000,0.00060033,2
138,0,265,101,98,11,3,19000,44566004,88,321283,32015,0,0,1848,9,40,9,2003,13000,17000,0.003451899,3
139,0,110,131,37,507,10,968,18208078,0,57100,3012,0,3,281,9,40,9,2001,848,10000,0.002026114,2
140,17,308,107,98,167,0,11000,3675072,19,190132,11623,0,0,801,9,39,9,2007,372,15000,0.002251238,3
141,0,196,93,66,161,0,1000,21197315,0,49948,1410,0,0,211,9,40,9,2014,200,14000,0.000900495,2
142,0,248,96,50,0,0,3,484221,0,23836,6,0,1,107,16,39,5,2012,3,20000,0.000300165,4
143,6,85,106,188,582,0,10000,113745408,100,129601,15870,0,2,648,9,40,7,1999,4000,10000,0.002776527,1
144,88,104,96,11000,223,0,11000,10569071,101,35586,11867,0,2,131,9,40,9,1997,474,10000,0.004952724,3
145,0,139,96,3,35,0,18000,48006503,36,28109,18178,0,3,110,9,40,6,2008,82,10000,0.001800991,2
146,14,258,159,98,645,0,11000,317557891,0,444683,13191,0,4,1571,9,39,6,2001,687,16000,0.002026114,3
147,55,67,99,545,533,0,933,14567883,0,44248,2542,0,1,373,9,39,9,1998,722,10000,0.001800991,2
148,80,292,123,98,645,0,10000,7689458,0,126307,11769,0,1,210,9,39,7,2009,785,19000,0.001350743,2
149,0,203,92,180,75,0,211,23324666,0,97775,488,0,1,211,9,13,9,2010,135,10000,0.000825454,2
150,0,129,100,6,65,0,935,14343976,0,22961,1327,0,0,291,9,40,9,1989,120,1000,0.000525289,1
151,0,417,140,310,619,0,33000,21383298,85,187170,34413,0,3,376,9,40,9,2012,748,47000,0.001350743,3
152,0,69,132,333,284,0,380,274299,0,11077,1429,0,2,55,9,13,10,2002,326,10000,0.001050578,3
153,0,296,104,71,982,0,12000,10706786,76,81800,16481,0,1,211,9,40,9,2011,2000,15000,0.003001651,2
154,0,27,122,98,292,0,12000,41252428,45,11453,13716,0,0,71,9,40,7,1996,592,10000,0.002326279,2
155,0,359,140,98,4000,0,20000,380262555,75,520104,44042,0,4,3286,9,40,7,2005,16000,10000,0.002401321,3
156,0,215,120,909,184,0,909,21244913,0,123090,1779,0,2,888,9,14,9,2002,504,4000,0.001275702,3
157,0,93,107,11,506,0,939,16088610,0,10417,3742,0,2,39,9,40,6,2009,605,610,0.001275702,2
158,0,205,93,80,48,0,692,436471036,0,314630,1148,0,1,483,9,40,6,2004,309,10000,0.001050578,3
159,42,120,109,98,126,0,3000,3798532,0,41138,3668,0,0,208,9,40,9,1996,441,2000,0.001275702,3
160,0,33,74,98,719,0,886,6491350,0,1231,5139,0,0,26,9,40,6,2004,808,49,0.000975537,2
161,0,147,99,129,362,0,976,2077046,0,27266,2748,0,2,75,9,40,9,2008,617,10000,0.000825454,2
162,0,127,136,49,730,0,17000,67253092,17,92702,20299,0,0,209,9,40,7,2005,807,10000,0.001800991,3
163,0,148,94,892,81,0,310,5132655,0,37626,838,0,0,521,9,6,9,2005,294,1000,0.00060033,0
164,0,104,97,32,692,30,14000,8378141,24,18966,16502,0,5,141,9,39,6,2002,1000,10000,0.00292661,2
165,0,279,92,394,565,0,13000,9483821,91,39247,25418,0,3,131,9,40,9,2012,11000,10000,0.002176197,2
166,0,105,99,148,660,0,2000,73701902,43,27548,6729,0,1,209,9,40,6,2004,843,10000,0.001500825,2
167,0,322,137,11000,465,0,769,115603980,0,103589,2938,0,0,351,9,40,7,2014,698,35000,0.002476362,3
168,0,152,135,419,7,0,398,128486,0,26156,569,0,0,74,20,35,9,2008,149,10000,0.000525289,3
169,32,133,127,446,898,9,11000,28871190,6,125421,13433,0,0,385,9,40,9,1999,1000,10000,0.003677022,3
170,3,267,138,98,258,0,820,132122995,0,212106,1814,0,0,1445,9,40,7,2003,300,10000,0.001425784,2
171,0,132,96,31,536,0,651,16667084,0,90070,3119,0,0,248,9,40,7,1990,610,11000,0.000750413,3
172,0,71,77,50,537,0,886,64736114,0,36471,2682,0,0,69,9,40,6,2002,799,459,0.001425784,2
173,0,162,99,261,461,0,924,49494,0,8511,2862,0,0,87,9,40,9,2013,835,10000,0.001575867,1
174,87,212,116,98,71,0,287,89138076,0,98535,600,0,4,734,9,40,9,2000,157,10000,0.001575867,2
175,62,147,117,98,567,0,883,7458269,0,70698,3611,0,1,196,9,40,7,2006,883,9000,0.003001651,2
176,0,40,95,10,111,0,706,25482931,0,9693,1421,0,2,33,9,40,9,2002,266,530,0.000825454,2
177,0,147,95,98,78,0,405,37101011,0,30394,1070,0,1,103,9,40,7,2012,358,10000,0.001125619,2
178,0,267,132,50,368,0,992,46982632,0,172792,1933,0,0,1740,9,6,9,2006,495,10000,0.001125619,2
179,0,165,109,65,393,0,798,78845130,0,17596,2480,0,1,94,9,13,9,2016,465,10000,0.000975537,2
180,70,262,125,98,210,0,15000,62647540,41,143525,15850,0,0,657,9,14,9,2005,383,10000,0.002401321,3
181,0,72,99,17,16,0,31,22770,0,1658,81,0,0,12,18,24,10,2013,17,543,0.000525289,2
182,0,124,110,116,898,0,1000,181360000,0,170027,5127,0,2,350,9,40,7,1978,944,13000,0.000900495,3
183,0,230,111,98,727,0,796,13034417,0,55665,2633,0,1,118,9,40,7,2009,787,10000,0.000750413,2
184,55,247,109,545,727,0,886,80281096,0,143628,3222,0,0,1283,9,40,7,2004,766,10000,0.001951073,2
185,0,304,132,607,259,0,1000,204565000,0,284252,2466,0,0,1058,9,40,9,1973,931,18000,0.001125619,3
186,0,158,86,41,155,0,956,19472057,0,25332,1862,0,0,307,9,40,9,1986,316,10000,0.000975537,2
187,88,128,94,11000,975,0,11000,17071230,101,31169,23283,0,0,192,9,40,6,2000,11000,812,0.00532793,2
188,0,114,116,101,780,0,18000,121248145,60,260981,20966,0,0,373,9,40,9,1994,946,10000,0.002701486,3
189,87,256,101,98,574,19,40000,26505000,53,149293,42918,0,1,668,9,40,11,1984,852,10000,0.003902146,3
190,75,155,100,350,30,0,201,2708188,0,8924,365,0,1,43,9,39,9,2009,123,10000,0.001350743,2
191,0,364,90,23000,694,0,23000,24475193,56,190494,44265,0,1,314,9,40,9,2013,19000,33000,0.003977187,2
192,62,238,128,98,135,0,29000,39380442,63,174248,29824,0,1,263,9,40,9,2008,149,10000,0.003677022,3
193,0,408,117,248,726,0,14000,51533608,64,203111,16606,0,1,755,9,40,9,2011,798,32000,0.002701486,2
194,0,279,89,33,118,0,470,12843,0,27297,1233,0,0,131,9,13,5,2012,378,10000,0.000300165,2
195,74,28,120,98,702,0,1000,5731103,10,4100,5963,0,10,35,9,40,9,1996,748,352,0.003001651,2
196,0,90,125,46,249,0,368,58800000,0,40511,1651,0,0,213,9,39,6,1981,303,10000,0.000525289,3
197,0,70,100,57,92,0,181,10114315,0,18693,582,0,0,187,9,40,7,1999,151,10000,0.000300165,2
198,0,161,100,98,210,0,436,35096190,0,76560,1395,0,1,322,9,40,7,2003,399,10000,0.001050578,2
199,50,141,117,179,403,0,8000,63695760,58,61490,12850,0,1,264,9,40,7,2003,4000,10000,0.003601981,2
200,0,93,75,98,677,0,4000,15519841,0,8693,6863,0,3,71,9,40,6,2006,769,261,0.001050578,1
201,12,138,105,488,13000,0,15000,20991497,32,39778,44037,0,1,172,9,40,7,2015,14000,11000,0.002701486,2
202,21,120,116,380,774,7,18000,40932372,27,58023,32563,0,0,281,9,40,9,1998,13000,10000,0.005177848,2
203,0,93,115,115,977,0,9000,882710,0,16215,11433,0,2,138,9,40,9,2000,1000,401,0.002476362,2
204,2,91,105,99,960,0,17000,33687630,17,116762,20109,0,0,261,9,40,7,2006,1000,10000,0.002101156,2
205,20,98,103,80,585,0,806,17324744,0,44103,3211,0,3,149,9,40,7,2006,591,10000,0.001500825,2
206,0,585,113,218,509,0,10000,100189501,92,431620,12652,0,1,741,9,40,7,2014,854,77000,0.002851568,3
207,81,186,126,13000,488,0,920,251188924,0,269033,2725,0,0,817,9,40,7,1989,549,12000,0.001951073,3
208,11,338,114,98,140,0,979,65171860,0,106416,1766,0,1,205,9,40,7,2013,557,22000,0.001725949,2
209,0,276,141,71,3000,25,21000,47105085,81,136973,30183,0,1,275,9,40,9,2014,3000,47000,0.00352694,3
210,0,238,88,91,591,0,4000,31051126,87,36877,6254,0,0,101,9,39,6,2012,796,10000,0.001275702,2
211,0,205,102,98,294,0,625,26781723,0,187595,1655,0,3,978,9,40,9,2004,379,10000,0.00060033,3
212,0,122,99,98,93,0,16000,3500000,23,147566,16534,0,1,235,17,23,9,1964,360,10000,0.002701486,3
213,0,171,105,12,935,0,87000,48745150,51,50170,101383,0,1,306,9,40,7,2006,11000,773,0.002551403,2
214,0,15,87,101,324,0,721,800000,0,2308,1700,0,0,35,9,40,9,1987,576,550,0.000450248,1
215,0,50,98,9,405,34,11000,101228,102,7228,20009,0,4,53,9,40,9,2005,8000,414,0.003151733,2
216,0,274,123,628,171,0,565,15294553,0,202341,1595,0,1,391,9,39,9,2013,555,105000,0.000525289,3
217,0,226,129,353,151,0,883,33565375,0,111351,1565,0,0,568,9,39,9,2005,430,10000,0.001125619,3
218,83,117,104,293,256,0,780,30063805,0,31788,2109,0,0,243,9,40,7,2002,265,10000,0.001575867,2
219,0,169,105,54,988,0,3000,51853450,46,37398,9069,0,0,110,9,40,6,2012,2000,11000,0.001275702,2
220,0,34,115,88,890,0,1000,43490057,0,5275,4737,0,6,30,9,40,9,1997,1000,508,0.001800991,2
221,16,131,131,16000,638,22,16000,101157447,23,277505,28544,0,1,495,9,40,9,1992,11000,10000,0.007128921,4
222,0,105,83,6,0,0,30,1127331,0,7559,30,0,1,77,7,0,7,2003,0,10000,0.000300165,3
223,0,163,113,13,594,0,5000,1094798,0,11158,7692,0,6,73,9,39,9,2010,629,10000,0.001125619,3
224,0,220,119,98,593,0,908,33386128,0,36372,3226,0,0,491,9,40,9,2009,764,3000,0.000825454,1
225,0,160,184,34,155,0,486,476270,0,29602,1601,0,2,110,12,14,9,2008,471,10000,0.00060033,3
226,0,371,114,171,284,0,6000,18996755,74,145270,7099,0,0,322,9,36,7,2012,382,54000,0.001725949,3
227,0,152,109,25,431,0,954,19976073,0,65979,3148,0,1,220,9,40,9,2005,739,999,0.00060033,2
228,0,181,101,8,110,0,544,27758465,0,77987,1292,0,2,120,9,40,7,2010,449,10000,0.000525289,2
229,0,22,90,98,617,0,806,100503,0,7759,3124,0,2,20,9,40,9,2009,690,1000,0.000825454,2
230,0,23,95,2,807,0,927,4006906,0,3229,4990,0,7,20,9,40,7,2005,912,83,0.001125619,1
231,0,59,96,44,129,0,625,1050600,0,4662,1378,0,0,136,9,40,9,2000,487,170,0.000900495,2
232,0,160,103,906,748,0,1000,70117571,0,56741,6207,0,0,515,9,40,6,1998,906,1000,0.001425784,2
233,0,99,112,61,501,0,1000,38360195,0,21215,3757,0,1,116,9,40,7,2006,976,10000,0.001725949,2
234,0,133,93,187,158,0,631,197148,0,18109,1176,0,0,150,9,39,9,2003,163,10000,0.001125619,2
235,0,178,117,763,523,0,16000,12276810,86,57674,17847,0,0,126,9,40,7,2015,543,11000,0.002026114,2
236,9,147,142,98,638,0,14000,44700000,3,537442,16464,0,0,851,9,40,9,1983,670,19000,0.003076692,4
237,0,656,130,98,650,0,1000,136019448,0,452465,3133,0,1,695,9,40,9,2012,660,89000,0.001125619,3
238,0,236,110,168,96,13,3000,39825798,0,295375,4210,0,3,645,9,40,7,2006,979,15000,0.001725949,3
239,0,82,86,13,553,0,1000,25200412,0,16580,3423,0,3,55,9,40,6,2009,701,916,0.00060033,2
240,0,172,101,222,698,0,1000,327919,0,99177,3282,0,0,192,9,39,10,2006,788,11000,0.000750413,3
241,24,181,155,98,10000,2,18000,82522790,60,143835,42220,0,0,654,9,40,9,1992,12000,14000,0.004427435,3
