id,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,facenumber_in_poster,num_user_for_reviews,title_year,actor_2_facebook_likes,movie_facebook_likes,average_degree_centrality,imdb_score_binned
97,673,142,378,575,34000,407999255,701607,0,1959,2012,14000,140000,0.001876032,3
98,568,149,21000,625,835,167735396,569841,0,1127,2014,812,146000,0.001876032,4
99,94,97,27,522,601,31526393,22243,0,144,2004,543,686,0.00060033,1
100,148,114,59,403,49000,31655091,87331,0,364,2007,702,18000,0.001725949,3
101,68,102,3,239,372,11227940,8367,0,94,1999,248,120,0.000375206,2
102,311,87,13,308,463,40990055,41509,0,300,2010,400,10000,0.000375206,2
103,159,81,3,7,220,22757819,13521,0,150,2015,40,10000,0.000300165,1
104,29,79,2,551,855,279282,3806,2,49,2003,577,150,0.000450248,2
105,36,113,98,256,607,51697449,8346,6,59,2009,269,1000,0.000975537,1
106,170,104,14,203,3000,75030163,108076,0,1690,2006,762,10000,0.001050578,2
107,161,110,72,789,18000,67061228,96565,1,135,2010,1000,10000,0.002851568,2
108,91,93,54,581,40000,34872293,30765,0,252,1991,618,963,0.002326279,1
109,167,91,41,328,567,20819129,84209,1,201,2009,402,10000,0.000750413,2
110,63,102,98,413,13000,38747385,49349,2,165,1986,854,10000,0.003076692,2
111,98,96,165,566,12000,183125,36914,1,86,2012,774,10000,0.003151733,2
112,329,115,521,883,13000,227137090,491077,0,820,2007,897,10000,0.003001651,4
113,393,100,127,250,1000,71588220,134869,1,304,2013,340,57000,0.000375206,2
114,162,106,98,574,18000,23272306,740918,4,1182,1995,979,28000,0.003752064,4
115,131,126,98,37,18000,53680848,167967,1,243,2007,631,20000,0.002476362,3
116,51,110,99,960,4000,4301331,78241,6,177,1995,975,10000,0.001650908,2
117,41,97,98,230,922,1046166,2599,4,45,2005,374,128,0.000750413,1
118,108,111,98,529,11000,108244774,94049,2,301,2001,995,10000,0.002176197,2
119,240,96,107,350,11000,143618384,165333,0,186,2011,560,19000,0.001725949,2
120,148,128,98,754,955,37036404,44816,3,259,2000,869,10000,0.000900495,2
121,219,96,7,642,874,50807639,40883,3,122,2014,668,11000,0.000300165,2
122,159,116,105,246,844,5851188,31124,1,313,2006,729,764,0.001125619,1
123,113,129,51,89,427,44469602,23480,0,83,2015,234,21000,0.00060033,3
124,185,94,39,18,77,9030581,132386,0,398,2008,32,38000,0.000300165,3
125,69,90,13,613,882,19158074,17983,2,127,2002,874,10000,0.001425784,2
126,189,97,11,220,1000,27736779,25210,0,126,2015,412,13000,0.000450248,2
127,152,101,32,104,219,8129455,89568,1,142,2011,141,17000,0.00060033,2
128,18,104,53,576,2000,5974653,2253,0,111,2001,595,158,0.001575867,1
129,98,117,260,441,1000,30981850,35834,0,284,2005,1000,10000,0.001275702,1
130,196,92,50,517,3000,111505642,47900,2,130,2014,1000,11000,0.001275702,2
131,150,107,309,771,23000,127083765,191912,5,370,2003,787,10000,0.002551403,2
132,42,141,176,672,11000,122012710,69663,1,133,1994,913,10000,0.002851568,2
133,90,103,45,107,489,668171,8215,0,132,2005,181,445,0.000375206,2
134,403,123,508,14000,34000,337103873,305008,1,591,2014,22000,52000,0.002626445,2
135,308,92,72,568,623,19059018,65709,0,194,2014,593,15000,0.000525289,2
136,113,87,43,210,882,36073232,8913,0,66,2013,396,10000,0.000375206,2
137,220,83,181,459,731,37053924,77935,3,122,2011,579,10000,0.00060033,2
138,265,101,98,11,19000,44566004,321283,0,1848,2003,13000,17000,0.003451899,3
139,110,131,37,507,968,18208078,57100,3,281,2001,848,10000,0.002026114,2
140,308,107,98,167,11000,3675072,190132,0,801,2007,372,15000,0.002251238,3
141,196,93,66,161,1000,21197315,49948,0,211,2014,200,14000,0.000900495,2
142,248,96,50,0,3,484221,23836,1,107,2012,3,20000,0.000300165,4
143,85,106,188,582,10000,113745408,129601,2,648,1999,4000,10000,0.002776527,1
144,104,96,11000,223,11000,10569071,35586,2,131,1997,474,10000,0.004952724,3
145,139,96,3,35,18000,48006503,28109,3,110,2008,82,10000,0.001800991,2
146,258,159,98,645,11000,317557891,444683,4,1571,2001,687,16000,0.002026114,3
147,67,99,545,533,933,14567883,44248,1,373,1998,722,10000,0.001800991,2
148,292,123,98,645,10000,7689458,126307,1,210,2009,785,19000,0.001350743,2
149,203,92,180,75,211,23324666,97775,1,211,2010,135,10000,0.000825454,2
150,129,100,6,65,935,14343976,22961,0,291,1989,120,1000,0.000525289,1
151,417,140,310,619,33000,21383298,187170,3,376,2012,748,47000,0.001350743,3
152,69,132,333,284,380,274299,11077,2,55,2002,326,10000,0.001050578,3
153,296,104,71,982,12000,10706786,81800,1,211,2011,2000,15000,0.003001651,2
154,27,122,98,292,12000,41252428,11453,0,71,1996,592,10000,0.002326279,2
155,359,140,98,4000,20000,380262555,520104,4,3286,2005,16000,10000,0.002401321,3
156,215,120,909,184,909,21244913,123090,2,888,2002,504,4000,0.001275702,3
157,93,107,11,506,939,16088610,10417,2,39,2009,605,610,0.001275702,2
158,205,93,80,48,692,436471036,314630,1,483,2004,309,10000,0.001050578,3
159,120,109,98,126,3000,3798532,41138,0,208,1996,441,2000,0.001275702,3
160,33,74,98,719,886,6491350,1231,0,26,2004,808,49,0.000975537,2
161,147,99,129,362,976,2077046,27266,2,75,2008,617,10000,0.000825454,2
162,127,136,49,730,17000,67253092,92702,0,209,2005,807,10000,0.001800991,3
163,148,94,892,81,310,5132655,37626,0,521,2005,294,1000,0.00060033,0
164,104,97,32,692,14000,8378141,18966,5,141,2002,1000,10000,0.00292661,2
165,279,92,394,565,13000,9483821,39247,3,131,2012,11000,10000,0.002176197,2
166,105,99,148,660,2000,73701902,27548,1,209,2004,843,10000,0.001500825,2
167,322,137,11000,465,769,115603980,103589,0,351,2014,698,35000,0.002476362,3
168,152,135,419,7,398,128486,26156,0,74,2008,149,10000,0.000525289,3
169,133,127,446,898,11000,28871190,125421,0,385,1999,1000,10000,0.003677022,3
170,267,138,98,258,820,132122995,212106,0,1445,2003,300,10000,0.001425784,2
171,132,96,31,536,651,16667084,90070,0,248,1990,610,11000,0.000750413,3
172,71,77,50,537,886,64736114,36471,0,69,2002,799,459,0.001425784,2
173,162,99,261,461,924,49494,8511,0,87,2013,835,10000,0.001575867,1
174,212,116,98,71,287,89138076,98535,4,734,2000,157,10000,0.001575867,2
175,147,117,98,567,883,7458269,70698,1,196,2006,883,9000,0.003001651,2
176,40,95,10,111,706,25482931,9693,2,33,2002,266,530,0.000825454,2
177,147,95,98,78,405,37101011,30394,1,103,2012,358,10000,0.001125619,2
178,267,132,50,368,992,46982632,172792,0,1740,2006,495,10000,0.001125619,2
179,165,109,65,393,798,78845130,17596,1,94,2016,465,10000,0.000975537,2
180,262,125,98,210,15000,62647540,143525,0,657,2005,383,10000,0.002401321,3
181,72,99,17,16,31,22770,1658,0,12,2013,17,543,0.000525289,2
182,124,110,116,898,1000,181360000,170027,2,350,1978,944,13000,0.000900495,3
183,230,111,98,727,796,13034417,55665,1,118,2009,787,10000,0.000750413,2
184,247,109,545,727,886,80281096,143628,0,1283,2004,766,10000,0.001951073,2
185,304,132,607,259,1000,204565000,284252,0,1058,1973,931,18000,0.001125619,3
186,158,86,41,155,956,19472057,25332,0,307,1986,316,10000,0.000975537,2
187,128,94,11000,975,11000,17071230,31169,0,192,2000,11000,812,0.00532793,2
188,114,116,101,780,18000,121248145,260981,0,373,1994,946,10000,0.002701486,3
189,256,101,98,574,40000,26505000,149293,1,668,1984,852,10000,0.003902146,3
190,155,100,350,30,201,2708188,8924,1,43,2009,123,10000,0.001350743,2
191,364,90,23000,694,23000,24475193,190494,1,314,2013,19000,33000,0.003977187,2
192,238,128,98,135,29000,39380442,174248,1,263,2008,149,10000,0.003677022,3
193,408,117,248,726,14000,51533608,203111,1,755,2011,798,32000,0.002701486,2
194,279,89,33,118,470,12843,27297,0,131,2012,378,10000,0.000300165,2
195,28,120,98,702,1000,5731103,4100,10,35,1996,748,352,0.003001651,2
196,90,125,46,249,368,58800000,40511,0,213,1981,303,10000,0.000525289,3
197,70,100,57,92,181,10114315,18693,0,187,1999,151,10000,0.000300165,2
198,161,100,98,210,436,35096190,76560,1,322,2003,399,10000,0.001050578,2
199,141,117,179,403,8000,63695760,61490,1,264,2003,4000,10000,0.003601981,2
200,93,75,98,677,4000,15519841,8693,3,71,2006,769,261,0.001050578,1
201,138,105,488,13000,15000,20991497,39778,1,172,2015,14000,11000,0.002701486,2
202,120,116,380,774,18000,40932372,58023,0,281,1998,13000,10000,0.005177848,2
203,93,115,115,977,9000,882710,16215,2,138,2000,1000,401,0.002476362,2
204,91,105,99,960,17000,33687630,116762,0,261,2006,1000,10000,0.002101156,2
205,98,103,80,585,806,17324744,44103,3,149,2006,591,10000,0.001500825,2
206,585,113,218,509,10000,100189501,431620,1,741,2014,854,77000,0.002851568,3
207,186,126,13000,488,920,251188924,269033,0,817,1989,549,12000,0.001951073,3
208,338,114,98,140,979,65171860,106416,1,205,2013,557,22000,0.001725949,2
209,276,141,71,3000,21000,47105085,136973,1,275,2014,3000,47000,0.00352694,3
210,238,88,91,591,4000,31051126,36877,0,101,2012,796,10000,0.001275702,2
211,205,102,98,294,625,26781723,187595,3,978,2004,379,10000,0.00060033,3
212,122,99,98,93,16000,3500000,147566,1,235,1964,360,10000,0.002701486,3
213,171,105,12,935,87000,48745150,50170,1,306,2006,11000,773,0.002551403,2
214,15,87,101,324,721,800000,2308,0,35,1987,576,550,0.000450248,1
215,50,98,9,405,11000,101228,7228,4,53,2005,8000,414,0.003151733,2
216,274,123,628,171,565,15294553,202341,1,391,2013,555,105000,0.000525289,3
217,226,129,353,151,883,33565375,111351,0,568,2005,430,10000,0.001125619,3
218,117,104,293,256,780,30063805,31788,0,243,2002,265,10000,0.001575867,2
219,169,105,54,988,3000,51853450,37398,0,110,2012,2000,11000,0.001275702,2
220,34,115,88,890,1000,43490057,5275,6,30,1997,1000,508,0.001800991,2
221,131,131,16000,638,16000,101157447,277505,1,495,1992,11000,10000,0.007128921,4
222,105,83,6,0,30,1127331,7559,1,77,2003,0,10000,0.000300165,3
223,163,113,13,594,5000,1094798,11158,6,73,2010,629,10000,0.001125619,3
224,220,119,98,593,908,33386128,36372,0,491,2009,764,3000,0.000825454,1
225,160,184,34,155,486,476270,29602,2,110,2008,471,10000,0.00060033,3
226,371,114,171,284,6000,18996755,145270,0,322,2012,382,54000,0.001725949,3
227,152,109,25,431,954,19976073,65979,1,220,2005,739,999,0.00060033,2
228,181,101,8,110,544,27758465,77987,2,120,2010,449,10000,0.000525289,2
229,22,90,98,617,806,100503,7759,2,20,2009,690,1000,0.000825454,2
230,23,95,2,807,927,4006906,3229,7,20,2005,912,83,0.001125619,1
231,59,96,44,129,625,1050600,4662,0,136,2000,487,170,0.000900495,2
232,160,103,906,748,1000,70117571,56741,0,515,1998,906,1000,0.001425784,2
233,99,112,61,501,1000,38360195,21215,1,116,2006,976,10000,0.001725949,2
234,133,93,187,158,631,197148,18109,0,150,2003,163,10000,0.001125619,2
235,178,117,763,523,16000,12276810,57674,0,126,2015,543,11000,0.002026114,2
236,147,142,98,638,14000,44700000,537442,0,851,1983,670,19000,0.003076692,4
237,656,130,98,650,1000,136019448,452465,1,695,2012,660,89000,0.001125619,3
238,236,110,168,96,3000,39825798,295375,3,645,2006,979,15000,0.001725949,3
239,82,86,13,553,1000,25200412,16580,3,55,2009,701,916,0.00060033,2
240,172,101,222,698,1000,327919,99177,0,192,2006,788,11000,0.000750413,3
241,181,155,98,10000,18000,82522790,143835,0,654,1992,12000,14000,0.004427435,3
242,41,118,50,655,968,1089445,2676,0,33,2009,844,10000,0.001275702,2
243,57,107,42,808,1000,49797148,49007,3,97,1989,854,10000,0.000750413,3
244,264,101,71,725,10000,51527787,45603,0,268,2009,960,10000,0.000975537,2
245,103,94,480,486,1000,68525609,132963,5,302,2000,490,10000,0.001500825,2
246,76,114,92,436,940,42168445,10791,3,39,2008,706,464,0.001650908,2
247,53,152,541,288,773,14873,5294,2,67,1965,575,251,0.00060033,2
248,97,91,38,91,730,10149779,8294,0,160,1999,461,342,0.000675371,1
249,17,112,12,699,33000,13134,2004,2,32,2002,1000,183,0.001650908,2
250,188,120,153,447,1000,24004159,68720,0,191,2004,1000,10000,0.002776527,2
251,167,115,92,177,559,24800000,89403,0,358,1963,201,10000,0.000750413,3
252,51,119,350,418,18000,34700000,52846,2,143,1988,17000,10000,0.003151733,3
253,22,98,16,222,687,3902679,3943,0,49,1993,233,217,0.00060033,2
254,140,85,98,490,21000,66365290,56874,2,358,1999,860,10000,0.002851568,2
255,28,97,4,301,611,464655,1524,0,29,1997,394,166,0.00060033,2
256,110,106,80,723,2000,43853424,35514,1,114,2011,795,15000,0.001725949,3
257,28,77,98,73,2000,19421271,2448,1,18,1999,804,122,0.000825454,1
258,131,122,151,11000,24000,9664316,47203,2,197,2007,15000,10000,0.00352694,2
259,70,93,28,415,1000,3500000,10082,2,100,1986,695,10000,0.000675371,2
260,46,137,98,130,591,10161099,23441,1,108,1989,520,10000,0.000900495,3
261,36,123,6,85,541,13391174,5796,0,177,2006,249,10000,0.000300165,2
262,81,121,608,25,149,112935,8161,0,94,2002,44,484,0.000675371,3
263,251,89,192,142,447,3645438,55040,1,539,2003,236,10000,0.000825454,2
264,97,88,96,360,24000,6373693,11498,1,53,2009,971,10000,0.002101156,2
265,59,90,176,460,531,108360000,160321,0,178,1995,461,10000,0.00120066,2
266,211,98,70,591,1000,53302314,181058,1,674,2000,847,10000,0.00120066,2
267,225,83,19,128,403,53245055,30570,0,290,2012,169,12000,0.00060033,1
268,109,98,34,730,936,353743,20730,1,111,2001,826,664,0.001275702,2
269,203,139,333,1000,22000,81292135,137891,1,696,1999,13000,10000,0.003677022,3
270,195,96,192,501,40000,47781388,147504,1,531,2004,534,10000,0.002851568,2
271,143,142,13,244,803,22800000,59941,2,452,1969,314,10000,0.000300165,2
272,43,85,119,144,3000,86930411,83269,6,87,1991,348,10000,0.001125619,2
273,38,112,213,45,567,6734844,29591,0,118,1986,67,10000,0.000825454,2
274,72,251,311,595,940,57750000,21554,2,192,1963,726,10000,0.000975537,2
275,238,108,58,838,14000,143704210,145974,1,611,2008,11000,10000,0.00292661,2
276,118,118,41,585,18000,44737059,48322,1,261,2000,4000,10000,0.003977187,2
277,72,96,98,302,2000,60154431,122347,1,345,1996,1000,10000,0.002176197,2
278,96,135,25,553,902,3041803,6377,0,181,2000,576,345,0.000750413,3
279,29,95,4,152,641,7888703,8465,1,65,1987,168,491,0.000300165,1
280,750,143,98,393,883,304360277,522048,0,1498,2012,563,80000,0.001425784,3
281,239,124,776,812,15000,186739919,333248,0,1159,2004,2000,19000,0.003752064,2
282,55,99,188,436,1000,113502246,96607,0,125,1991,1000,5000,0.001575867,2
283,240,96,98,10000,18000,137850096,72809,0,249,2009,14000,10000,0.003601981,2
284,72,96,30,407,761,7292175,7736,3,100,1999,412,10000,0.000450248,2
285,70,91,29,762,976,14018364,17722,1,111,2004,799,849,0.000900495,1
286,54,111,35,482,980,985341,3479,0,87,1999,505,180,0.000825454,3
287,212,89,98,606,2000,21378000,46493,0,335,1980,826,7000,0.002476362,2
288,115,122,2000,1000,11000,22362500,35599,0,195,1999,1000,641,0.003977187,2
289,377,112,310,616,33000,9701559,141425,0,283,2010,2000,25000,0.001575867,3
290,96,96,170,668,13000,150415432,117606,0,217,1985,738,10000,0.002176197,2
291,117,99,60,628,4000,1654367,18355,0,106,2006,787,3000,0.001125619,2
292,120,128,17000,387,22000,79100000,127503,0,261,1991,1000,10000,0.004802641,3
293,73,90,176,825,931,16647384,8398,1,56,2006,839,498,0.001125619,2
294,51,119,350,418,18000,34700000,52846,2,143,1988,17000,10000,0.003151733,3
295,228,127,905,271,15000,38345403,212085,8,492,2007,588,15000,0.00120066,3
296,68,121,503,94,808,144731527,128010,2,136,1992,277,10000,0.001575867,2
297,95,85,10,178,3000,14000000,15956,0,118,1987,273,1000,0.000750413,2
298,93,119,98,434,627,37486138,30890,1,106,2004,508,718,0.001575867,2
299,434,138,98,8000,12000,101160529,200022,2,1240,2014,9000,71000,0.002476362,2
300,94,105,102,383,901,234760500,126464,1,175,1984,605,10000,0.001275702,3
301,134,100,14,356,3000,12561,71276,2,181,2010,547,13000,0.001350743,2
302,185,109,260,592,9000,34468224,105568,2,533,2003,844,10000,0.001876032,3
303,75,92,29,618,939,13922211,18271,9,150,2004,881,10000,0.00120066,1
304,78,120,2,80,809,634277,5166,1,27,2007,521,815,0.000375206,3
305,335,129,98,385,12000,49874933,161168,4,287,2013,412,43000,0.003001651,2
306,539,124,364,1000,11000,89021735,387436,0,892,2013,10000,71000,0.004652559,2
307,195,89,21,48,614,21426805,49312,0,211,2011,150,10000,0.000375206,1
308,294,106,98,963,18000,94999143,245152,0,1344,2000,13000,10000,0.004427435,3
309,391,105,20,844,22000,26589953,165792,1,392,2010,982,44000,0.003301816,2
310,202,112,98,38,717,211667,53508,0,131,2005,126,4000,0.00060033,3
311,121,125,420,627,12000,75764085,85844,1,322,2000,3000,10000,0.004202311,2
312,158,94,110,277,14000,18500966,70341,1,830,2006,829,10000,0.001575867,1
313,35,105,39,183,267,3123749,746,8,27,2005,225,88,0.000450248,2
314,364,128,151,852,1000,52066000,61114,0,212,2014,1000,22000,0.001951073,3
315,276,109,37,651,11000,51019112,155745,0,1053,2005,2000,10000,0.001800991,2
316,183,125,541,409,920,107285004,189855,3,1018,1997,890,10000,0.002626445,1
317,78,104,98,77,1000,1779284,12047,4,122,2002,165,677,0.000675371,3
318,144,117,69,1000,10000,116643346,119807,1,340,2003,1000,10000,0.001650908,2
319,233,216,17000,1000,29000,77679638,314033,3,1166,2002,14000,10000,0.004952724,3
320,176,124,31,497,11000,118471320,86504,0,568,2002,655,10000,0.003376857,2
321,152,153,610,617,12000,40911830,55994,0,454,2002,836,10000,0.00292661,2
322,234,107,98,766,13000,293501675,704766,0,2073,1999,3000,14000,0.004202311,4
323,20,105,121,354,3000,10070000,5668,3,50,1996,624,491,0.001725949,2
324,231,90,56,0,56,2283276,46107,0,156,2008,0,10000,0.000525289,3
325,143,110,675,968,16000,6525762,44339,2,425,2002,977,10000,0.000675371,2
326,318,102,532,979,10000,227946274,343648,0,590,2008,9000,10000,0.003451899,2
327,50,94,9,612,11000,8735529,8055,4,89,2000,897,816,0.001650908,2
328,168,93,24,499,552,25675765,60407,0,84,2013,528,11000,0.000375206,2
329,71,92,23,162,460,25590119,19699,0,119,2001,442,387,0.000975537,1
330,12,128,545,353,783,24332324,13830,1,61,1994,754,680,0.000975537,2
331,112,112,17000,354,22000,32645,67797,0,223,1973,926,10000,0.005027765,3
332,174,119,64,41,743,21471685,65464,0,1308,2000,117,10000,0.000450248,0
333,44,103,98,805,12000,41382841,27149,0,96,1986,899,10000,0.00352694,2
334,90,102,6,584,711,33864342,29968,1,117,1999,683,445,0.000750413,2
335,13,103,34,227,811,16066,1207,0,44,2004,522,40,0.000525289,1
336,210,121,163,482,723,80150343,142115,0,614,2006,651,10000,0.001050578,2
337,159,150,98,135,11000,100853835,200556,2,611,1997,1000,15000,0.003677022,3
338,280,103,98,346,1000,131564731,118951,0,1382,2010,756,18000,0.00120066,1
339,285,121,1000,108,175,23618786,352695,1,687,2007,115,17000,0.000975537,3
340,39,91,29,322,2000,20400913,15455,1,80,1996,461,451,0.000900495,2
341,115,122,98,221,697,8596914,23023,0,148,2000,394,10000,0.000675371,2
342,509,186,98,773,5000,258355354,483540,6,951,2013,972,83000,0.001050578,3
343,222,105,226,966,22000,63910583,106755,2,173,2013,11000,27000,0.006453549,2
344,78,89,98,500,1000,9652000,46205,0,147,2003,627,10000,0.001125619,2
345,166,101,57,230,1000,10268846,31918,1,142,2009,603,10000,0.001125619,2
346,249,132,47,240,988,81687587,138246,0,360,2015,960,24000,0.000900495,2
